BRISONr,Merito_multicarater,DP_indice_local,n_ambientes,Fracao_ambientes,Entropia_Shannon,Entropia_normalizada,Fracao_quartil_superior,Fracao_quartil_inferior,genotype,RYear,Genotipo,Quadrante,Pareto,Z_merito,Z_estabilidade,Escore_integrado_exploratorio,Rank_exploratorio
BRISONr_33,0.19715491456024611,0.32910975264931297,45,1,1.2920556514537787,0.9320211404524628,0.37777777777777777,0.15555555555555556,BRISONr_33,NA,BRISONr_33,Superior e instável,FALSE,0.610116384841869,-0.6438406459604495,-0.03372426111858051,85
BRISONr_216,0.18943093807167105,0.4178258795507069,45,1,1.287875331648095,0.9290056771259679,0.4,0.13333333333333333,BRISONr_216,NA,BRISONr_216,Superior e instável,FALSE,0.5864262656333552,-0.627886850140674,-0.04146058450731882,86
BRISONr_214,0.13646734588318898,0.34947481916663564,45,1,1.2487276528495728,0.9007665960934969,0.2222222222222222,0.06666666666666667,BRISONr_214,NA,BRISONr_214,Superior e instável,FALSE,0.42398224285413466,-0.4784834304500009,-0.05450118759586625,87
BRISONr_187,-0.5953909775071461,0.4567599767965686,42,0.9333333333333333,0.6667858912585133,0.4809843493266924,0,0.7857142857142857,BRISONr_187,NA,BRISONr_187,Inferior e estável,FALSE,-1.8206919803915416,1.7424423539364922,-0.0782496264550494,88
BRISONr_131,-0.3941236802882269,0.29729770053328675,45,1,0.829453446400952,0.5983241868854565,0.022222222222222223,0.7111111111111111,BRISONr_131,NA,BRISONr_131,Inferior e estável,FALSE,-1.2033873742803962,1.1216369893047884,-0.08175038497560783,89
BRISONr_63,0.04308457138200097,0.26590213371036103,45,1,1.1822230016451067,0.8527936308491302,0.13333333333333333,0.06666666666666667,BRISONr_63,NA,BRISONr_63,Inferior e estável,FALSE,0.1375690121526738,-0.22467470870127465,-0.08710569654860084,90
BRISONr_166,-0.1588245277461696,0.21571728273056867,45,1,1.0236462717837331,0.7384046999634339,0,0.28888888888888886,BRISONr_166,NA,BRISONr_166,Inferior e estável,FALSE,-0.48170405719252024,0.38051840751351274,-0.1011856496790075,91
BRISONr_154,0.1247149115729391,0.2807307247279352,45,1,1.2559284257630128,0.9059608557798906,0.2,0.1111111111111111,BRISONr_154,NA,BRISONr_154,Superior e instável,FALSE,0.3879364871204309,-0.5059645003550836,-0.11802801323465267,92
BRISONr_89,0.15834941469203265,0.334998218748931,45,1,1.283258024286105,0.9256749939092663,0.3333333333333333,0.08888888888888889,BRISONr_89,NA,BRISONr_89,Superior e instável,FALSE,0.4910964837347464,-0.61026533257396,-0.11916884883921358,93
BRISONr_104,-0.269990331818771,0.2761913236708799,45,1,0.9403110580750719,0.6782910501889802,0,0.6,BRISONr_104,NA,BRISONr_104,Inferior e estável,FALSE,-0.8226594128031455,0.6985593818661737,-0.12410003093697175,94
