BRISONr,Condition,tem_yield,peso_disponivel,n_traits_disponiveis,MI_Index_Local
BRISONr_26,2017__QLB__HN_NF_RF,TRUE,1,4,0.8798494571972286
BRISONr_26,2017__QLB__HN_WF_RF,TRUE,1,4,0.7281060073587932
BRISONr_26,2017__QLB__LN_NF_RF,TRUE,1,4,1.1266780452438572
BRISONr_27,2015__GGE__HN_NF_RF,TRUE,1,4,-0.18507403496892502
BRISONr_27,2015__GGE__HN_WF_RF,TRUE,1,4,0.44274709224123227
BRISONr_27,2015__GGE__LN_NF_RF,TRUE,1,4,-0.024285984258171762
BRISONr_27,2015__HAN__HN_NF_RF,TRUE,1,4,0.026063445734385696
BRISONr_27,2015__HAN__HN_WF_RF,TRUE,1,4,0.255617313597638
BRISONr_27,2015__HAN__LN_NF_RF,TRUE,1,4,-0.35135700572948986
BRISONr_27,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,0.004211586637904241
BRISONr_27,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,-0.11457688171832556
BRISONr_27,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,-0.33026890298485373
BRISONr_27,2015__KIE__HN_NF_RF,TRUE,1,4,-0.22286666103671543
BRISONr_27,2015__KIE__HN_WF_RF,TRUE,1,4,-0.4095699573000811
BRISONr_27,2015__KIE__LN_NF_RF,TRUE,1,4,-0.13397316610134558
BRISONr_27,2015__QLB__HN_NF_RF,TRUE,1,4,0.13660863265421502
BRISONr_27,2015__QLB__HN_WF_RF,TRUE,1,4,-0.140263293985206
BRISONr_27,2015__QLB__LN_NF_RF,TRUE,1,4,-0.18338348357315074
BRISONr_27,2016__GGE__HN_NF_RF,TRUE,1,4,0.02576230885152138
BRISONr_27,2016__GGE__HN_WF_RF,TRUE,1,4,0.13599421389543503
BRISONr_27,2016__GGE__LN_NF_RF,TRUE,1,4,0.14840309808766675
BRISONr_27,2016__HAN__HN_NF_RF,TRUE,1,4,-0.12034788206472749
BRISONr_27,2016__HAN__HN_WF_RF,TRUE,1,4,0.3101997134325646
BRISONr_27,2016__HAN__LN_NF_RF,TRUE,1,4,0.19896655588781298
BRISONr_27,2016__KAL__HN_NF_RF,TRUE,1,4,0.04634263375267249
BRISONr_27,2016__KAL__HN_WF_RF,TRUE,1,4,0.06839495328692374
BRISONr_27,2016__KAL__LN_NF_RF,TRUE,1,4,0.11198022087001372
BRISONr_27,2016__KIE__HN_NF_RF,TRUE,1,4,-0.40405143339189975
BRISONr_27,2016__KIE__HN_WF_RF,TRUE,1,4,-0.044203516994669435
BRISONr_27,2016__KIE__LN_NF_RF,TRUE,1,4,-0.05529836389067072
BRISONr_27,2016__QLB__HN_NF_RF,TRUE,1,4,0.20452347352288575
BRISONr_27,2016__QLB__HN_WF_RF,TRUE,1,4,0.08770873687772941
BRISONr_27,2016__QLB__LN_NF_RF,TRUE,1,4,0.17312435146205415
BRISONr_27,2017__GGE__HN_NF_RF,TRUE,1,4,0.2919900386606844
BRISONr_27,2017__GGE__HN_WF_RF,TRUE,1,4,0.05551022822849785
BRISONr_27,2017__GGE__LN_NF_RF,TRUE,1,4,-0.025484391761015336
BRISONr_27,2017__HAN__HN_NF_RF,TRUE,1,4,0.009709031445415791
BRISONr_27,2017__HAN__HN_WF_RF,TRUE,1,4,0.7233916487412916
BRISONr_27,2017__HAN__LN_NF_RF,TRUE,1,4,-0.38510044403675575
BRISONr_27,2017__KAL__HN_NF_RF,TRUE,1,4,0.09235167026808659
BRISONr_27,2017__KAL__HN_WF_RF,TRUE,1,4,-0.035671987583405326
BRISONr_27,2017__KAL__LN_NF_RF,TRUE,1,4,-0.7308545971384679
BRISONr_27,2017__KIE__HN_NF_RF,TRUE,1,4,-0.08742101468378902
BRISONr_27,2017__KIE__HN_WF_RF,TRUE,1,4,-0.19325265668374014
BRISONr_27,2017__KIE__LN_NF_RF,TRUE,1,4,0.6832999869983875
BRISONr_27,2017__QLB__HN_NF_RF,TRUE,1,4,-0.7328568629260166
BRISONr_27,2017__QLB__HN_WF_RF,TRUE,1,4,-0.370412142593341
BRISONr_27,2017__QLB__LN_NF_RF,TRUE,1,4,-0.27012816958954633
BRISONr_28,2015__GGE__HN_NF_RF,TRUE,1,4,-1.4167618068510701
BRISONr_28,2015__GGE__HN_WF_RF,TRUE,1,4,0.4332926163263146
BRISONr_28,2015__GGE__LN_NF_RF,TRUE,1,4,-0.4879716317033168
BRISONr_28,2015__HAN__HN_NF_RF,TRUE,1,4,-1.3272737213625718
BRISONr_28,2015__HAN__HN_WF_RF,TRUE,1,4,-0.6002637776751717
BRISONr_28,2015__HAN__LN_NF_RF,TRUE,1,4,-0.6904949260554112
BRISONr_28,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,-0.8962720141674065
BRISONr_28,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,0.6183106145319252
BRISONr_28,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,-0.3558829041778422
BRISONr_28,2015__KIE__HN_NF_RF,TRUE,1,4,-0.5080978804145202
BRISONr_28,2015__KIE__HN_WF_RF,TRUE,1,4,0.16955920225129847
BRISONr_28,2015__KIE__LN_NF_RF,TRUE,1,4,0.2615175196158078
